"Tabela 3939 - Efetivo dos rebanhos, por tipo de rebanho"
"Variável - Efetivo dos rebanhos (Cabeças)"
"Nível";"Cód.";"Município";"Ano x Tipo de rebanho"
"Nível";"Cód.";"Município";"2015";"2020"
"Nível";"Cód.";"Município";"Bovino";"Bovino"
"MU";"3158953";"Santana do Paraíso (MG)";"6463";"6113"
"MU";"3159001";"Santana do Riacho (MG)";"3697";"4502"
"MU";"3159100";"Santana dos Montes (MG)";"6585";"6632"
"MU";"3159209";"Santa Rita de Caldas (MG)";"40963";"37788"
"MU";"3159308";"Santa Rita de Jacutinga (MG)";"20258";"21843"
"MU";"3159357";"Santa Rita de Minas (MG)";"2352";"1736"
"MU";"3159407";"Santa Rita de Ibitipoca (MG)";"12788";"13302"
"MU";"3159506";"Santa Rita do Itueto (MG)";"18349";"15587"
"MU";"3159605";"Santa Rita do Sapucaí (MG)";"24428";"24642"
"MU";"3159704";"Santa Rosa da Serra (MG)";"12158";"11006"
"MU";"3159803";"Santa Vitória (MG)";"283000";"279223"
"MU";"3159902";"Santo Antônio do Amparo (MG)";"16140";"16333"
"MU";"3160009";"Santo Antônio do Aventureiro (MG)";"15100";"13936"
"MU";"3160108";"Santo Antônio do Grama (MG)";"7702";"8112"
"MU";"3160207";"Santo Antônio do Itambé (MG)";"10895";"9828"
"MU";"3160306";"Santo Antônio do Jacinto (MG)";"37755";"30071"
"MU";"3160405";"Santo Antônio do Monte (MG)";"90000";"88831"
"MU";"3160454";"Santo Antônio do Retiro (MG)";"4395";"4191"
"MU";"3160504";"Santo Antônio do Rio Abaixo (MG)";"5402";"6126"
"MU";"3160603";"Santo Hipólito (MG)";"23056";"22098"
"MU";"3160702";"Santos Dumont (MG)";"31542";"26770"
"MU";"3160801";"São Bento Abade (MG)";"2750";"2032"
"MU";"3160900";"São Brás do Suaçuí (MG)";"3625";"3611"
"MU";"3160959";"São Domingos das Dores (MG)";"478";"382"
"MU";"3161007";"São Domingos do Prata (MG)";"33467";"29735"
"MU";"3161056";"São Félix de Minas (MG)";"16199";"10700"
"MU";"3161106";"São Francisco (MG)";"130926";"125601"
"MU";"3161205";"São Francisco de Paula (MG)";"16654";"16210"
"MU";"3161304";"São Francisco de Sales (MG)";"107731";"84544"
"MU";"3161403";"São Francisco do Glória (MG)";"10143";"14039"
"MU";"3161502";"São Geraldo (MG)";"7771";"9106"
"MU";"3161601";"São Geraldo da Piedade (MG)";"11788";"10794"
"MU";"3161650";"São Geraldo do Baixio (MG)";"18153";"14509"
"MU";"3161700";"São Gonçalo do Abaeté (MG)";"46701";"44097"
"MU";"3161809";"São Gonçalo do Pará (MG)";"17000";"17662"
"MU";"3161908";"São Gonçalo do Rio Abaixo (MG)";"11867";"11933"
"MU";"3162005";"São Gonçalo do Sapucaí (MG)";"31658";"29313"
"MU";"3162104";"São Gotardo (MG)";"61805";"58656"
"MU";"3162203";"São João Batista do Glória (MG)";"29000";"25596"
"MU";"3162252";"São João da Lagoa (MG)";"27861";"23471"
"MU";"3162302";"São João da Mata (MG)";"8817";"7765"
"MU";"3162401";"São João da Ponte (MG)";"82279";"88577"
"MU";"3162450";"São João das Missões (MG)";"14520";"12349"
"MU";"3162500";"São João del Rei (MG)";"42589";"40992"
"MU";"3162559";"São João do Manhuaçu (MG)";"1997";"1613"
"MU";"3162575";"São João do Manteninha (MG)";"18267";"11844"
"MU";"3162609";"São João do Oriente (MG)";"11056";"11928"
"MU";"3162658";"São João do Pacuí (MG)";"16671";"16139"
"MU";"3162708";"São João do Paraíso (MG)";"10496";"12113"
"MU";"3162807";"São João Evangelista (MG)";"27730";"24924"
"MU";"3162906";"São João Nepomuceno (MG)";"26366";"26909"
"MU";"3162922";"São Joaquim de Bicas (MG)";"1912";"1436"
"MU";"3162948";"São José da Barra (MG)";"11750";"11800"
"MU";"3162955";"São José da Lapa (MG)";"1516";"1155"
"MU";"3163003";"São José da Safira (MG)";"10240";"7616"
"MU";"3163102";"São José da Varginha (MG)";"19500";"19367"
"MU";"3163201";"São José do Alegre (MG)";"9138";"7710"
"MU";"3163300";"São José do Divino (MG)";"23724";"21634"
"MU";"3163409";"São José do Goiabal (MG)";"10754";"12796"
"MU";"3163508";"São José do Jacuri (MG)";"15570";"15863"
"MU";"3163607";"São José do Mantimento (MG)";"3140";"3074"
"MU";"3163706";"São Lourenço (MG)";"2871";"2305"
"MU";"3163805";"São Miguel do Anta (MG)";"3766";"7670"
"MU";"3163904";"São Pedro da União (MG)";"12717";"12866"
"MU";"3164001";"São Pedro dos Ferros (MG)";"18170";"21230"
"MU";"3164100";"São Pedro do Suaçuí (MG)";"16080";"14848"
"MU";"3164209";"São Romão (MG)";"38407";"31722"
"MU";"3164308";"São Roque de Minas (MG)";"74281";"67242"
"MU";"3164407";"São Sebastião da Bela Vista (MG)";"11182";"10255"
"MU";"3164431";"São Sebastião da Vargem Alegre (MG)";"3388";"5743"
"MU";"3164472";"São Sebastião do Anta (MG)";"2379";"1961"
"MU";"3164506";"São Sebastião do Maranhão (MG)";"23960";"22500"
"MU";"3164605";"São Sebastião do Oeste (MG)";"29350";"30799"
"MU";"3164704";"São Sebastião do Paraíso (MG)";"45000";"35890"
"MU";"3164803";"São Sebastião do Rio Preto (MG)";"5335";"5768"
"MU";"3164902";"São Sebastião do Rio Verde (MG)";"5575";"6620"
"MU";"3165008";"São Tiago (MG)";"27479";"29631"
"MU";"3165107";"São Tomás de Aquino (MG)";"12800";"9820"
"MU";"3165206";"São Tomé das Letras (MG)";"15050";"15974"
"MU";"3165305";"São Vicente de Minas (MG)";"16877";"18398"
"MU";"3165404";"Sapucaí-Mirim (MG)";"6585";"5083"
"MU";"3165503";"Sardoá (MG)";"5015";"4635"
"MU";"3165537";"Sarzedo (MG)";"920";"859"
"MU";"3165552";"Setubinha (MG)";"5442";"6500"
"MU";"3165560";"Sem-Peixe (MG)";"10641";"11523"
"MU";"3165578";"Senador Amaral (MG)";"6548";"4881"
"MU";"3165602";"Senador Cortes (MG)";"6050";"5960"
"MU";"3165701";"Senador Firmino (MG)";"4578";"5463"
"MU";"3165800";"Senador José Bento (MG)";"8752";"7352"
"MU";"3165909";"Senador Modestino Gonçalves (MG)";"8392";"8680"
"MU";"3166006";"Senhora de Oliveira (MG)";"3060";"5547"
"MU";"3166105";"Senhora do Porto (MG)";"12940";"14950"
"MU";"3166204";"Senhora dos Remédios (MG)";"13655";"15020"
"MU";"3166303";"Sericita (MG)";"3427";"4894"
"MU";"3166402";"Seritinga (MG)";"4825";"5568"
"MU";"3166501";"Serra Azul de Minas (MG)";"6239";"10199"
"MU";"3166600";"Serra da Saudade (MG)";"20776";"19861"
"MU";"3166709";"Serra dos Aimorés (MG)";"25758";"20958"
"MU";"3166808";"Serra do Salitre (MG)";"60387";"57110"
"MU";"3166907";"Serrania (MG)";"13903";"11045"
"MU";"3166956";"Serranópolis de Minas (MG)";"9400";"10694"
"MU";"3167004";"Serranos (MG)";"9138";"12137"
"MU";"3167103";"Serro (MG)";"31310";"32264"
"MU";"3167202";"Sete Lagoas (MG)";"16447";"17741"
"MU";"3167301";"Silveirânia (MG)";"9860";"9203"
"MU";"3167400";"Silvianópolis (MG)";"26133";"28591"
"MU";"3167509";"Simão Pereira (MG)";"7168";"6940"
"MU";"3167608";"Simonésia (MG)";"5200";"9647"
"MU";"3167707";"Sobrália (MG)";"16847";"17982"
"MU";"3167806";"Soledade de Minas (MG)";"13826";"14255"
"MU";"3167905";"Tabuleiro (MG)";"13900";"11640"
"MU";"3168002";"Taiobeiras (MG)";"14562";"13704"
"MU";"3168051";"Taparuba (MG)";"13817";"12679"
"MU";"3168101";"Tapira (MG)";"47820";"43845"
"MU";"3168200";"Tapiraí (MG)";"21711";"19073"
"MU";"3168309";"Taquaraçu de Minas (MG)";"7211";"8714"
"MU";"3168408";"Tarumirim (MG)";"49233";"45734"
"MU";"3168507";"Teixeiras (MG)";"5172";"7597"
"MU";"3168606";"Teófilo Otoni (MG)";"175831";"145276"
"MU";"3168705";"Timóteo (MG)";"1058";"965"
"MU";"3168804";"Tiradentes (MG)";"2865";"2784"
"MU";"3168903";"Tiros (MG)";"80018";"104327"
"MU";"3169000";"Tocantins (MG)";"10406";"11096"
"MU";"3169059";"Tocos do Moji (MG)";"11302";"9815"
"MU";"3169109";"Toledo (MG)";"6962";"6888"
"MU";"3169208";"Tombos (MG)";"20840";"21021"
"MU";"3169307";"Três Corações (MG)";"49800";"40524"
"MU";"3169356";"Três Marias (MG)";"28606";"28338"
"MU";"3169406";"Três Pontas (MG)";"20825";"17042"
"MU";"3169505";"Tumiritinga (MG)";"27825";"25308"
"MU";"3169604";"Tupaciguara (MG)";"126719";"106759"
"MU";"3169703";"Turmalina (MG)";"3602";"3683"
"MU";"3169802";"Turvolândia (MG)";"14950";"14618"
"MU";"3169901";"Ubá (MG)";"19918";"18143"
"MU";"3170008";"Ubaí (MG)";"33308";"27229"
"MU";"3170057";"Ubaporanga (MG)";"5616";"5043"
"MU";"3170107";"Uberaba (MG)";"203475";"173967"
"MU";"3170206";"Uberlândia (MG)";"217560";"217714"
"MU";"3170305";"Umburatiba (MG)";"28687";"26525"
"MU";"3170404";"Unaí (MG)";"360558";"273022"
"MU";"3170438";"União de Minas (MG)";"129788";"108043"
"MU";"3170479";"Uruana de Minas (MG)";"19740";"17960"
"MU";"3170503";"Urucânia (MG)";"4939";"4943"
"MU";"3170529";"Urucuia (MG)";"34398";"42141"
"MU";"3170578";"Vargem Alegre (MG)";"8782";"7138"
"MU";"3170602";"Vargem Bonita (MG)";"17922";"16689"
"MU";"3170651";"Vargem Grande do Rio Pardo (MG)";"2715";"3086"
"MU";"3170701";"Varginha (MG)";"17068";"16405"
"MU";"3170750";"Varjão de Minas (MG)";"35863";"31188"
"MU";"3170800";"Várzea da Palma (MG)";"72832";"71583"
"MU";"3170909";"Varzelândia (MG)";"24749";"19705"
"MU";"3171006";"Vazante (MG)";"90145";"89891"
"MU";"3171030";"Verdelândia (MG)";"35850";"44104"
"MU";"3171071";"Veredinha (MG)";"1145";"3700"
"MU";"3171105";"Veríssimo (MG)";"63264";"50811"
"MU";"3171154";"Vermelho Novo (MG)";"3694";"3683"
"MU";"3171204";"Vespasiano (MG)";"992";"903"
"MU";"3171303";"Viçosa (MG)";"9410";"10304"
"MU";"3171402";"Vieiras (MG)";"6821";"15419"
"MU";"3171501";"Mathias Lobato (MG)";"13390";"13120"
"MU";"3171600";"Virgem da Lapa (MG)";"14690";"13321"
"MU";"3171709";"Virgínia (MG)";"24109";"24205"
"MU";"3171808";"Virginópolis (MG)";"16090";"16492"
"MU";"3171907";"Virgolândia (MG)";"14135";"16205"
"MU";"3172004";"Visconde do Rio Branco (MG)";"13541";"14275"
"MU";"3172103";"Volta Grande (MG)";"11670";"14416"
"MU";"3172202";"Wenceslau Braz (MG)";"6813";"7797"
"MU";"3200102";"Afonso Cláudio (ES)";"29875";"30160"
"MU";"3200136";"Águia Branca (ES)";"18439";"19115"
"MU";"3200169";"Água Doce do Norte (ES)";"32251";"26805"
"MU";"3200201";"Alegre (ES)";"68311";"70456"
"MU";"3200300";"Alfredo Chaves (ES)";"13387";"15319"
"MU";"3200359";"Alto Rio Novo (ES)";"9275";"9211"
"MU";"3200409";"Anchieta (ES)";"25709";"28315"
"MU";"3200508";"Apiacá (ES)";"18557";"16810"
"MU";"3200607";"Aracruz (ES)";"40454";"41443"
"MU";"3200706";"Atílio Vivácqua (ES)";"20623";"20544"
"MU";"3200805";"Baixo Guandu (ES)";"55259";"43338"
"MU";"3200904";"Barra de São Francisco (ES)";"84872";"69449"
"MU";"3201001";"Boa Esperança (ES)";"20734";"19815"
"MU";"3201100";"Bom Jesus do Norte (ES)";"8177";"7814"
"MU";"3201159";"Brejetuba (ES)";"3572";"2513"
"MU";"3201209";"Cachoeiro de Itapemirim (ES)";"61270";"62765"
"MU";"3201308";"Cariacica (ES)";"6635";"7635"
"MU";"3201407";"Castelo (ES)";"33302";"34782"
"MU";"3201506";"Colatina (ES)";"67531";"56133"
"MU";"3201605";"Conceição da Barra (ES)";"14397";"14108"
"MU";"3201704";"Conceição do Castelo (ES)";"9138";"8651"
"MU";"3201803";"Divino de São Lourenço (ES)";"7653";"7302"
"MU";"3201902";"Domingos Martins (ES)";"5746";"6664"
"MU";"3202009";"Dores do Rio Preto (ES)";"5629";"5497"
"MU";"3202108";"Ecoporanga (ES)";"239493";"221749"
"MU";"3202207";"Fundão (ES)";"11617";"13300"
"MU";"3202256";"Governador Lindenberg (ES)";"7080";"5802"
"MU";"3202306";"Guaçuí (ES)";"26115";"26787"
"MU";"3202405";"Guarapari (ES)";"19175";"20075"
"MU";"3202454";"Ibatiba (ES)";"3379";"3106"
"MU";"3202504";"Ibiraçu (ES)";"6918";"7490"
"MU";"3202553";"Ibitirama (ES)";"11842";"10947"
"MU";"3202603";"Iconha (ES)";"13424";"13940"
"MU";"3202652";"Irupi (ES)";"2118";"1718"
"MU";"3202702";"Itaguaçu (ES)";"19561";"16431"
"MU";"3202801";"Itapemirim (ES)";"33304";"46119"
"MU";"3202900";"Itarana (ES)";"7328";"7123"
"MU";"3203007";"Iúna (ES)";"10175";"8292"
"MU";"3203056";"Jaguaré (ES)";"10451";"10046"
"MU";"3203106";"Jerônimo Monteiro (ES)";"16232";"18494"
"MU";"3203130";"João Neiva (ES)";"15311";"16327"
"MU";"3203163";"Laranja da Terra (ES)";"17680";"15923"
"MU";"3203205";"Linhares (ES)";"145288";"139841"
"MU";"3203304";"Mantenópolis (ES)";"12782";"11983"
"MU";"3203320";"Marataízes (ES)";"1893";"1923"
"MU";"3203346";"Marechal Floriano (ES)";"557";"456"
"MU";"3203353";"Marilândia (ES)";"7296";"5285"
"MU";"3203403";"Mimoso do Sul (ES)";"57400";"60852"
"MU";"3203502";"Montanha (ES)";"117502";"98520"
"MU";"3203601";"Mucurici (ES)";"84098";"75786"
"MU";"3203700";"Muniz Freire (ES)";"27580";"29123"
"MU";"3203809";"Muqui (ES)";"19068";"22910"
"MU";"3203908";"Nova Venécia (ES)";"89217";"77014"
"MU";"3204005";"Pancas (ES)";"33616";"27984"
"MU";"3204054";"Pedro Canário (ES)";"28329";"23249"
"MU";"3204104";"Pinheiros (ES)";"54302";"48067"
"MU";"3204203";"Piúma (ES)";"6245";"6185"
"MU";"3204252";"Ponto Belo (ES)";"52203";"46333"
"MU";"3204302";"Presidente Kennedy (ES)";"46088";"63362"
"MU";"3204351";"Rio Bananal (ES)";"10280";"7058"
"MU";"3204401";"Rio Novo do Sul (ES)";"16200";"17348"
"MU";"3204500";"Santa Leopoldina (ES)";"14472";"16705"
"MU";"3204559";"Santa Maria de Jetibá (ES)";"2336";"5331"
"MU";"3204609";"Santa Teresa (ES)";"10121";"9523"
"MU";"3204658";"São Domingos do Norte (ES)";"14982";"9731"
"MU";"3204708";"São Gabriel da Palha (ES)";"18787";"15130"
"MU";"3204807";"São José do Calçado (ES)";"23311";"23125"
"MU";"3204906";"São Mateus (ES)";"83257";"80841"
"MU";"3204955";"São Roque do Canaã (ES)";"11012";"9131"
"MU";"3205002";"Serra (ES)";"17083";"17114"
"MU";"3205010";"Sooretama (ES)";"14260";"8862"
"MU";"3205036";"Vargem Alta (ES)";"7788";"8094"
"MU";"3205069";"Venda Nova do Imigrante (ES)";"2778";"3346"
"MU";"3205101";"Viana (ES)";"17842";"17202"
"MU";"3205150";"Vila Pavão (ES)";"22233";"18961"
"MU";"3205176";"Vila Valério (ES)";"7118";"4916"
"MU";"3205200";"Vila Velha (ES)";"14000";"6575"
"MU";"3205309";"Vitória (ES)";"208";"120"
"MU";"3300100";"Angra dos Reis (RJ)";"4498";"4800"
"MU";"3300159";"Aperibé (RJ)";"8303";"9453"
"MU";"3300209";"Araruama (RJ)";"42739";"45739"
"MU";"3300225";"Areal (RJ)";"4800";"4200"
"MU";"3300233";"Armação dos Búzios (RJ)";"1848";"1890"
"MU";"3300308";"Barra do Piraí (RJ)";"41580";"44472"
"MU";"3300407";"Barra Mansa (RJ)";"35973";"40646"
"MU";"3300456";"Belford Roxo (RJ)";"1251";"916"
"MU";"3300506";"Bom Jardim (RJ)";"15140";"17300"
"MU";"3300605";"Bom Jesus do Itabapoana (RJ)";"64650";"78900"
"MU";"3300704";"Cabo Frio (RJ)";"21600";"25860"
"MU";"3300803";"Cachoeiras de Macacu (RJ)";"30895";"35220"
"MU";"3300902";"Cambuci (RJ)";"51283";"62174"
"MU";"3300936";"Carapebus (RJ)";"23871";"25455"
"MU";"3300951";"Comendador Levy Gasparian (RJ)";"5200";"5450"
"MU";"3301009";"Campos dos Goytacazes (RJ)";"232398";"274798"
"MU";"3301108";"Cantagalo (RJ)";"58276";"72700"
"MU";"3301157";"Cardoso Moreira (RJ)";"49590";"53928"
"MU";"3301207";"Carmo (RJ)";"28338";"34790"
"MU";"3301306";"Casimiro de Abreu (RJ)";"27630";"20640"
"MU";"3301405";"Conceição de Macabu (RJ)";"30860";"39649"
"MU";"3301504";"Cordeiro (RJ)";"7658";"10470"
"MU";"3301603";"Duas Barras (RJ)";"17272";"22950"
"MU";"3301702";"Duque de Caxias (RJ)";"12016";"8576"
"MU";"3301801";"Engenheiro Paulo de Frontin (RJ)";"1150";"874"
"MU";"3301850";"Guapimirim (RJ)";"21000";"18750"
"MU";"3301876";"Iguaba Grande (RJ)";"2735";"2400"
"MU";"3301900";"Itaboraí (RJ)";"28270";"28559"
"MU";"3302007";"Itaguaí (RJ)";"11501";"10977"
"MU";"3302056";"Italva (RJ)";"25250";"25053"
"MU";"3302106";"Itaocara (RJ)";"39824";"43814"
"MU";"3302205";"Itaperuna (RJ)";"125683";"131547"
"MU";"3302254";"Itatiaia (RJ)";"4181";"4419"
"MU";"3302270";"Japeri (RJ)";"4579";"3999"
"MU";"3302304";"Laje do Muriaé (RJ)";"19600";"22565"
"MU";"3302403";"Macaé (RJ)";"89502";"98946"
"MU";"3302452";"Macuco (RJ)";"6434";"8342"
"MU";"3302502";"Magé (RJ)";"8726";"7300"
"MU";"3302601";"Mangaratiba (RJ)";"7200";"4859"
"MU";"3302700";"Maricá (RJ)";"7356";"7002"
"MU";"3302809";"Mendes (RJ)";"1035";"1166"
"MU";"3302858";"Mesquita (RJ)";"...";"..."
"MU";"3302908";"Miguel Pereira (RJ)";"21638";"9843"
"MU";"3303005";"Miracema (RJ)";"28740";"30779"
"MU";"3303104";"Natividade (RJ)";"35307";"44170"
"MU";"3303203";"Nilópolis (RJ)";"...";"..."
"MU";"3303302";"Niterói (RJ)";"35";"705"
"MU";"3303401";"Nova Friburgo (RJ)";"7315";"7080"
"MU";"3303500";"Nova Iguaçu (RJ)";"4265";"4212"
"MU";"3303609";"Paracambi (RJ)";"4510";"5810"
"MU";"3303708";"Paraíba do Sul (RJ)";"36100";"33965"
"MU";"3303807";"Paraty (RJ)";"2997";"3201"
"MU";"3303856";"Paty do Alferes (RJ)";"20349";"19987"
"MU";"3303906";"Petrópolis (RJ)";"6200";"5500"
"MU";"3303955";"Pinheiral (RJ)";"4320";"4279"
"MU";"3304003";"Piraí (RJ)";"23500";"24740"
"MU";"3304102";"Porciúncula (RJ)";"28360";"24850"
"MU";"3304110";"Porto Real (RJ)";"8040";"6126"
"MU";"3304128";"Quatis (RJ)";"21586";"28072"
"MU";"3304144";"Queimados (RJ)";"2402";"1987"
"MU";"3304151";"Quissamã (RJ)";"43412";"53611"
"MU";"3304201";"Resende (RJ)";"50003";"57018"
"MU";"3304300";"Rio Bonito (RJ)";"32873";"34942"
"MU";"3304409";"Rio Claro (RJ)";"35658";"45272"
"MU";"3304508";"Rio das Flores (RJ)";"23520";"27171"
"MU";"3304524";"Rio das Ostras (RJ)";"13032";"15870"
"MU";"3304557";"Rio de Janeiro (RJ)";"4108";"3265"
"MU";"3304607";"Santa Maria Madalena (RJ)";"47026";"52468"
"MU";"3304706";"Santo Antônio de Pádua (RJ)";"53932";"59681"
"MU";"3304755";"São Francisco de Itabapoana (RJ)";"64778";"70871"
"MU";"3304805";"São Fidélis (RJ)";"81635";"85910"
"MU";"3304904";"São Gonçalo (RJ)";"5072";"2880"
"MU";"3305000";"São João da Barra (RJ)";"25387";"24466"
"MU";"3305109";"São João de Meriti (RJ)";"...";"..."
"MU";"3305133";"São José de Ubá (RJ)";"25000";"30250"
"MU";"3305158";"São José do Vale do Rio Preto (RJ)";"2940";"3570"
"MU";"3305208";"São Pedro da Aldeia (RJ)";"22059";"23300"
"MU";"3305307";"São Sebastião do Alto (RJ)";"38482";"38648"
"MU";"3305406";"Sapucaia (RJ)";"29500";"35400"
"MU";"3305505";"Saquarema (RJ)";"8020";"6200"
"MU";"3305554";"Seropédica (RJ)";"9906";"11415"
"MU";"3305604";"Silva Jardim (RJ)";"51893";"58759"
"MU";"3305703";"Sumidouro (RJ)";"22207";"26839"
"MU";"3305752";"Tanguá (RJ)";"7504";"9136"
"MU";"3305802";"Teresópolis (RJ)";"8064";"8300"
"MU";"3305901";"Trajano de Moraes (RJ)";"23458";"26048"
"MU";"3306008";"Três Rios (RJ)";"15510";"16250"
"MU";"3306107";"Valença (RJ)";"78286";"103410"
"MU";"3306156";"Varre-Sai (RJ)";"12458";"16000"
"MU";"3306206";"Vassouras (RJ)";"33600";"37084"
"MU";"3306305";"Volta Redonda (RJ)";"4769";"5082"
"MU";"3500105";"Adamantina (SP)";"31666";"36940"
"MU";"3500204";"Adolfo (SP)";"5893";"5350"
"MU";"3500303";"Aguaí (SP)";"6188";"3560"
"MU";"3500402";"Águas da Prata (SP)";"6333";"10500"
"MU";"3500501";"Águas de Lindóia (SP)";"3850";"5468"
"MU";"3500550";"Águas de Santa Bárbara (SP)";"10717";"9520"
"MU";"3500709";"Agudos (SP)";"40307";"35968"
"MU";"3500758";"Alambari (SP)";"8043";"7039"
"MU";"3500808";"Alfredo Marcondes (SP)";"21722";"22210"
"MU";"3500907";"Altair (SP)";"14458";"26520"
"MU";"3501004";"Altinópolis (SP)";"17400";"15800"
"MU";"3501103";"Alto Alegre (SP)";"19492";"26519"
"MU";"3501152";"Alumínio (SP)";"704";"870"
"MU";"3501202";"Álvares Florence (SP)";"36600";"47500"
"MU";"3501301";"Álvares Machado (SP)";"46864";"46960"
"MU";"3501400";"Álvaro de Carvalho (SP)";"15408";"12405"
"MU";"3501509";"Alvinlândia (SP)";"5200";"4850"
"MU";"3501608";"Americana (SP)";"1000";"58"
"MU";"3501707";"Américo Brasiliense (SP)";"641";"289"
"MU";"3501806";"Américo de Campos (SP)";"17400";"17400"
"MU";"3501905";"Amparo (SP)";"25400";"30811"
"MU";"3502002";"Analândia (SP)";"10100";"11200"
"MU";"3502101";"Andradina (SP)";"60575";"48466"
"MU";"3502200";"Angatuba (SP)";"50603";"47622"
"MU";"3502309";"Anhembi (SP)";"33250";"33827"
"MU";"3502408";"Anhumas (SP)";"29910";"28670"
"MU";"3502507";"Aparecida (SP)";"4689";"6350"
"MU";"3502606";"Aparecida d'Oeste (SP)";"20282";"20900"
"MU";"3502705";"Apiaí (SP)";"6193";"7057"
"MU";"3502754";"Araçariguama (SP)";"2130";"2000"
"MU";"3502804";"Araçatuba (SP)";"62016";"62520"
"MU";"3502903";"Araçoiaba da Serra (SP)";"10899";"10500"
"MU";"3503000";"Aramina (SP)";"2435";"2567"
"MU";"3503109";"Arandu (SP)";"11662";"10483"
"MU";"3503158";"Arapeí (SP)";"4286";"5100"
"MU";"3503208";"Araraquara (SP)";"11360";"10688"
"MU";"3503307";"Araras (SP)";"5200";"7005"
"MU";"3503356";"Arco-Íris (SP)";"21136";"25458"
"MU";"3503406";"Arealva (SP)";"41939";"38458"
"MU";"3503505";"Areias (SP)";"14124";"15000"
"MU";"3503604";"Areiópolis (SP)";"200";"358"
"MU";"3503703";"Ariranha (SP)";"601";"550"
"MU";"3503802";"Artur Nogueira (SP)";"4468";"5740"
"MU";"3503901";"Arujá (SP)";"350";"257"
"MU";"3503950";"Aspásia (SP)";"5624";"7148"
"MU";"3504008";"Assis (SP)";"18979";"16239"
"MU";"3504107";"Atibaia (SP)";"13400";"12260"
"MU";"3504206";"Auriflama (SP)";"56702";"55400"
"MU";"3504305";"Avaí (SP)";"37491";"39324"
"MU";"3504404";"Avanhandava (SP)";"8437";"9058"
"MU";"3504503";"Avaré (SP)";"45825";"42100"
"MU";"3504602";"Bady Bassitt (SP)";"10960";"11990"
"MU";"3504701";"Balbinos (SP)";"2950";"3437"
"MU";"3504800";"Bálsamo (SP)";"7488";"9360"
"MU";"3504909";"Bananal (SP)";"17980";"29200"
"MU";"3505005";"Barão de Antonina (SP)";"14000";"13000"
"MU";"3505104";"Barbosa (SP)";"10930";"9427"
"MU";"3505203";"Bariri (SP)";"23090";"22334"
"MU";"3505302";"Barra Bonita (SP)";"847";"600"
"MU";"3505351";"Barra do Chapéu (SP)";"3928";"3534"
"MU";"3505401";"Barra do Turvo (SP)";"15000";"8400"
"MU";"3505500";"Barretos (SP)";"36238";"39322"
"MU";"3505609";"Barrinha (SP)";"550";"242"
"MU";"3505708";"Barueri (SP)";"...";"..."
"MU";"3505807";"Bastos (SP)";"20586";"18580"
"MU";"3505906";"Batatais (SP)";"25000";"20500"
"MU";"3506003";"Bauru (SP)";"46887";"47081"
"MU";"3506102";"Bebedouro (SP)";"9397";"13710"
"MU";"3506201";"Bento de Abreu (SP)";"12520";"11574"
"MU";"3506300";"Bernardino de Campos (SP)";"8467";"7567"
"MU";"3506359";"Bertioga (SP)";"...";"..."
"MU";"3506409";"Bilac (SP)";"13019";"15816"
"MU";"3506508";"Birigui (SP)";"42296";"42727"
"MU";"3506607";"Biritiba Mirim (SP)";"802";"700"
"MU";"3506706";"Boa Esperança do Sul (SP)";"6016";"6100"
"MU";"3506805";"Bocaina (SP)";"9744";"11709"
"MU";"3506904";"Bofete (SP)";"27440";"35305"
"MU";"3507001";"Boituva (SP)";"13605";"13778"
"MU";"3507100";"Bom Jesus dos Perdões (SP)";"3000";"2778"
"MU";"3507159";"Bom Sucesso de Itararé (SP)";"3000";"1300"
"MU";"3507209";"Borá (SP)";"9034";"5564"
"MU";"3507308";"Boracéia (SP)";"2703";"2553"
"MU";"3507407";"Borborema (SP)";"15300";"18770"
"MU";"3507456";"Borebi (SP)";"3416";"3699"
"MU";"3507506";"Botucatu (SP)";"36520";"34693"
"MU";"3507605";"Bragança Paulista (SP)";"24500";"33000"
"MU";"3507704";"Braúna (SP)";"8950";"10983"
"MU";"3507753";"Brejo Alegre (SP)";"4520";"3773"
"MU";"3507803";"Brodowski (SP)";"13696";"12000"
"MU";"3507902";"Brotas (SP)";"25211";"23747"
"MU";"3508009";"Buri (SP)";"31444";"27194"
"MU";"3508108";"Buritama (SP)";"30086";"31982"
"MU";"3508207";"Buritizal (SP)";"12540";"13836"
"MU";"3508306";"Cabrália Paulista (SP)";"14512";"13100"
"MU";"3508405";"Cabreúva (SP)";"7620";"7250"
"MU";"3508504";"Caçapava (SP)";"20172";"22800"
"MU";"3508603";"Cachoeira Paulista (SP)";"19678";"24500"
"MU";"3508702";"Caconde (SP)";"29600";"30708"
"MU";"3508801";"Cafelândia (SP)";"42800";"37746"
"MU";"3508900";"Caiabu (SP)";"20404";"20525"
"MU";"3509007";"Caieiras (SP)";"...";"76"
"MU";"3509106";"Caiuá (SP)";"68011";"67740"
"MU";"3509205";"Cajamar (SP)";"...";"107"
"MU";"3509254";"Cajati (SP)";"8300";"7200"
"MU";"3509304";"Cajobi (SP)";"4167";"4500"
"MU";"3509403";"Cajuru (SP)";"23170";"25604"
"MU";"3509452";"Campina do Monte Alegre (SP)";"8495";"5529"
"MU";"3509502";"Campinas (SP)";"22113";"20667"
"MU";"3509601";"Campo Limpo Paulista (SP)";"201";"281"
